text,tamil,english,tamil_romanized
"I have wonderfully captured the white reflections of the historic palace buildings of Lake Palace, situated amidst the lakes of Udaipur in Rajasthan, on the water during the evening light using my telephoto lens.","I wonderfully captured the white marble reflections of the historic palace buildings of Lake Palace, situated amidst the lakes of Udaipur in Rajasthan, on the water during the evening light using my telephoto lens.",I wonderfully captured on water with my telephoto lens under evening lights the white marble reflections of historical Lake Palace royal structures amidst Udaipur lakes of Rajasthan,Rajasthanin Udaipur aarigaluku naduve ulla Lake Palace varalaatru sirappumika aranmanaik katidangalin vellai palingukkal pirathibalipugalai en telephoto lens moolam maalai neara velichathil neerin meathu arputhamaagap padam pidithen
"கேரளாவின் ஆலப்புழாவில் உள்ள பாரம்பரிய படகு இல்லத்தில் தங்கி, அங்குள்ள 'கரிமீன் பொலிச்சது' என்ற மீன் உணவைச் சுவைப்பது எனது நீண்ட நாள் ஆசையாகும்.",கேரளாவின் ஆலப்புழா சென்று பாரம்பரிய படகு இல்லத்தில் தங்கி அங்குள்ள கரிமீன் பொலிச்சது என்ற மீன் உணவைச் சுவைப்பது எனது நீண்ட நாள் ஆசையாகும்.,It is my long-standing desire to visit Alappuzha in Kerala stay in a traditional houseboat and taste the Karimeen Pollichathu fish dish,Keralavin Alappuzha sendru paarambariya padagu illathil thangi angulla Karimeen Pollichathu endra meen unavai suvaippathu enathu neenda naal aasaiyaagum
ఒంటరిగా ప్రయాణిస్తూ ఒడిస్సాలోని ఉదయగిరి మరియు ఖండగిరి జైన రాతి గుహల లోపల ఉన్న రెండవ శతాబ్దం నాటి చారిత్రక హాథీగుంఫా శాసనాలను చూసి ప్రాచీన లిపి విశేషాలను నా డైరీలో రాసుకున్నాను,தனியாகப் பயணம் செய்யும்போது ஒடிசாவின் உதயகிரி மற்றும் கந்தகிரி சமணக் குடைவரைக் குகைகளுக்குள் இருக்கும் கிபி இரண்டாம் நூற்றாண்டு வரலாற்றுச் சிறப்புமிக்க ஹாத்திகும்பா கல்வெட்டுகளைப் பார்த்து பழங்கால எழுத்துமுறை விவரங்களை என் டைரியில் எழுதினேன்,While traveling solo I looked at the second century historical Hathigumpha inscriptions inside Udayagiri and Khandagiri Jain rock-cut caves of Odisha and wrote ancient script details in my diary,Thaniyaagap payanam seiyumbothu Odishavin Udayagiri martum Khandagiri samanak kudaivaraik kugaigalukul irukkum Kipi ireandaam nootraandu varalaatru sirappumika Hathigumpha kalvettugalaip paarthu pazhangala ezhuthumurai vivarangalai en diary-yil ezhuthinen
తమిళనాడులోని తంజావూరు ఆలయ శరభోజీ రాజుల కాలం నాటి భరతనాట్య సాంప్రదాయ ముద్రల చరిత్రను తెలుసుకుంటూనే వీధుల్లో తిరుగుతూ అక్కడ దొరికే ప్రసిద్ధ తంజావూరు తలయాట్టి బొమ్మల తయారీ సంస్కృతిని చూసి ఆనందించాము,தமிழ்நாட்டின் தஞ்சாவூர் கோயில் சரபோஜி மன்னர்களின் காலத்து பரதநாட்டிய பாரம்பரிய முத்திரைகளின் வரலாற்றை அறிந்துகொண்டே வீதிகளில் உலா வரும்போது அங்கு கிடைக்கும் புகழ்பெற்ற தஞ்சாவூர் தலையாட்டி பொம்மைகள் தயாரிப்பு கலாச்சாரத்தைக் கண்டு மகிழ்ந்தோம்,While learning the history of Bharatanatyam traditional mudras from Thanjavur temple Serfoji kings era in Tamil Nadu we enjoyed watching the manufacturing culture of famous Thanjavur doll while roaming the streets,Tamilnaadin Thanjavur koyil Serfoji mannargalin kaalathu Bharatanatyam paarambariya muthiraigalin varalaatrai arinthu konde veethigalil ula varumbothu angu kidaikum pugazhpetra Thanjavur thalaiyaatti bommaigal thariarippu kalaachaarathaikaandu magizhthom
వృద్ధులైన మా తాతగారి అమరనాథ్ యాత్ర కోసం బాల్తాల్ బేస్ క్యాంప్ వద్ద వైద్య సదుపాయాలు మరియు గరమ్ పానీ అందుబాటులో ఉండే ప్రత్యేక టెంట్ ను ముందే బుక్ చేశాను,வயதான என் தாத்தாவின் அமர்நாத் யாத்திரைக்காக பால்தால் அடிப்படை முகாமில் மருத்துவ வசதிகள் மற்றும் வெந்நீர் கிடைக்கும் சிறப்பு கூடாரத்தை முன்கூட்டியே முன்பதிவு செய்தேன்,I booked in advance a special tent with medical facilities and hot water available at Baltal base camp for my elderly grandfather Amarnath yatra,Vayathaana en thaathaavin Amarnath yaathiraikaaga Baltal adipada mugaamil maruthuva vasathigal martum vennir kidaikum sirappu koodaarathai munkoottiye munpathivu seithen
ఆహార ప్రియుడిగా నేను అమృత్‌సర్ మార్కెట్‌లో లభించే పురాతన పద్ధతిలో తయారుచేసే సుగంధ ద్రవ్యాల మిశ్రమాలను మరియు వాటి ఘాటైన సువాసనను పసిగట్టి ఆశ్చర్యపోయాను,ஒரு உணவு ஆர்வலராக நான் அமிர்தசரஸ் சந்தையில் கிடைக்கும் பழங்கால முறையில் தயாரிக்கப்படும் வாசனைத் திரவியக் கலவைகளையும் அவற்றின் காட்டமான மணத்தையும் நுகர்ந்து வியந்தேன்,As a food enthusiast I was surprised to smell the pungent aroma of spice mixtures prepared in ancient methods found in Amritsar market,Oru unavu aarvalaraaga naan Amirthasaras santhaiyil kidaikum pazhangala muraiyil thayarikkappadum vaasanai thiraviyak kalavaigalaiyum avatrin kaattamaana manathaiyum nugarnthu viyanthom
జైపూర్ మహారాజుల కాలం నాటి పాత ఆయుధాల తయారీ శైలిని మరియు అక్కడ ప్రదర్శించే చారిత్రక జైగఢ్ కోట లోని ప్రపంచంలోనే అతి పెద్ద జైవాన్ ఫిరంగి విశేషాలను తెలుసుకోవడానికి కోట రక్షక అధికారిని కలిసి మాట్లాడాను,ஜெய்ப்பூர் மகாராஜாக்கள் காலத்து பழைய ஆயுதங்கள் தயாரிப்பு முறை மற்றும் அங்கு காட்சிப்படுத்தப்பட்டுள்ள வரலாற்றுச் சிறப்புமிக்க ஜெய்கர் கோட்டையில் உள்ள உலகிலேயே மிகப்பெரிய ஜெய்பான் பீரங்கியின் சிறப்புகளை அறிய கோட்டை பாதுகாப்பு அதிகாரியைச் சந்தித்துப் பேசினேன்,I met and spoke with the fort security officer to learn the details of world largest Jaivana cannon inside historical Jaigarh Fort and old weapon manufacturing style from Jaipur Maharajas era,Jaipur Maharajaakal kaalathu pazhaiya aayuthangal thariarippu murai martum angu kaatchipaduthapatulla varalaatru sirappumika Jaigarh kotaiyil ulla ulagileye migapperiya Jaivan beerangiyin sirappugalai ariya kotai paathugaappu athigaariyais santhithu pesinen
கொல்கத்தா தெருக்களில் கிடைக்கும் பிரபலமான புச்சா மற்றும் ரசகுல்லா உணவுகளின் பின்னணியில் உள்ள நூறாண்டு கால வரலாற்றை அறிய எங்கள் சமையல் குழு பயணம் மேற்கொண்டது.,கொல்கத்தா வீதிகளில் கிடைக்கும் புகழ்பெற்ற புச்சா மற்றும் ரசகுல்லா உணவுகளின் பின்னணியில் உள்ள நூறு ஆண்டு வரலாற்றை அறிந்துகொள்ள எங்கள் சமையல் குழு புறப்பட்டது.,Our culinary team set out to know the hundred year history behind the famous Puchka and Rasgulla dishes available on the streets of Kolkata,Kolkata veethigalil kidaikum pugazhpetra Puchka martum Rasgulla unavugalin pinnaliyil ulla nooru aandu varalaatrai ariya engal samayal kuzhu purappattathu
"கோடை விடுமுறையில் மேற்கு வங்காளத்தின் முர்ஷிதாபாத் ஹசார் துவாரி அரண்மனையின் வரலாற்று ஆயுதக் கிடங்கை எங்கள் குடும்ப உறுப்பினர்கள் அனைவரும் பார்வையிட்டு, அங்குள்ள நவாபுகள் காலத்து பழைய வாட்கள் மற்றும் துப்பாக்கிகளை ஆர்வத்துடன் பார்த்தனர்.",கோடை விடுமுறையில் மேற்கு வங்காளத்தின் முர்ஷிதாபாத் ஹசார்துவாரி அரண்மனையின் வரலாற்றுச் சிறப்புமிக்க ஆயுதக் கிடங்கை எங்கள் குடும்ப உறுப்பினர்கள் அனைவரும் பார்வையிட்டு அங்குள்ள நவாபுகள் காலத்து பழைய வாட்கள் மற்றும் துப்பாக்கிகளை ஆர்வத்துடன் பார்த்தனர்.,During summer vacation our family members visited Hazarduari Palace historical armory in Murshidabad of West Bengal and curiously looked at old swords and guns from Nawabs era,Kodai vidumuraiyil Merku vangalaathin Murshidabad Hazarduari aranmanaiyin varalaatru sirappumika aayuthak kidangai engal kudumbam urupinargal anaivarum paarvaiyittu angulla Nawabgal kaalathu pazhaiya vaalgal martum thupaakigalai aarvathudan paarthanar
"To reduce the physical strain on our elderly grandmother, we gently showed her the historical hanging pillar and the traditional Vijayanagara paintings at the Veerabhadra Temple in Lepakshi, Andhra Pradesh.","To reduce the physical strain on our elderly grandmother, we gently showed her the historical hanging pillar and the traditional Vijayanagara paintings at the Veerabhadra Temple in Lepakshi, Andhra Pradesh.",To reduce the physical strain of our elderly grandmother we slowly showed her the traditional Vijayanagara paintings and historical hanging pillar inside Lepakshi Veerabhadra temple in Andhra Pradesh,Vayathaana engal paatiyin udal uzhaipaik kuraipatharkaaga Andhra Pradeshin Lepakshi Veerabhadra koyilil ulla varalaatru sirappumika thongum thoon martum paarambariya Vijayanagara ooviyangalai methuvaagak kaanpithom
"இயற்கையில் ஒரு அற்புதமான சூரிய உதயத்தைப் பார்க்கும்போது, அந்த நொடி என் வாழ்க்கையிலேயே மிகச் சிறந்தது என்று நான் கருதுகிறேன்.",இயற்கையில் ஒரு அற்புதமான சூரிய உதயத்தைப் பார்க்கும்போது அந்த நிமிடம் என் வாழ்க்கையிலேயே மிகச் சிறந்தது எனக் கருதுகிறேன்,I feel that the moment I see a wonderful sunrise in nature is the greatest in my life,Iyarkaiyil oru arputhamana sooriya uthayathaip paarkkumbothu antha nimidam en vaazhkkaiyilaiyea migach siranthathu enak karuthugiren
"கேமரா லென்ஸின் வழியாகப் பார்க்கும்போது, இந்த உலகம் எவ்வளவு அழகாகவும் வண்ணமயமாகவும் இருக்கிறது என்பதை வேறெதாலும் விவரிக்க முடியாது.","கேமரா லென்ஸின் வழியாகப் பார்க்கும்போது, இந்த உலகம் எவ்வளவு அழகாகவும் வண்ணமயமாகவும் இருக்கிறது என்பதை வேறெதாலும் விவரிக்க முடியாது.",Nothing else can explain how beautiful and colorful this world is when seen through the camera lens,Camera lens vazhiyaagap paarkkumbothu intha ulagam evvalavu azhagaagavum vannamayamaagavum irukkum enbathai verethuvum vilakka mudiyaathu
"Since photography is my passion, capturing every beautiful corner of the world through my camera and sharing the diversity of nature with the rest of the world brings me great satisfaction.","Since photography is my passion, capturing every beautiful place in the world with my camera and conveying the diversity of nature to others gives me great satisfaction.",Since photography is my passion capturing every beautiful corner of the world through my camera and showing the diversity of nature gives me great satisfaction,Pugaipadakkalai en viruppamaana ondru enbathaal ulagin ovvoru azhagana idathaiyum en cameravil padam pidithu iyarkaiyin panmugaththanmaiyai pirarukku unarthuvathu enakku miguntha mananiraivaith tharugirathu
మైసూర్ దసరా ఉత్సవాల ఊరేగింపును చూసిన తర్వాత అక్కడి ప్యాలెస్ సమీపంలో దొరికే ప్రసిద్ధ మైసూర్ పాక్ తీపి వంటకాన్ని తాజా నెయ్యి సువాసనతో తిని మురిసిపోయాను,மைசூர் தசரா விழாவின் ஊர்வலத்தைப் பார்த்த பிறகு அங்குள்ள அரண்மனைக்கு அருகில் கிடைக்கும் புகழ்பெற்ற மைசூர் பாக் இனிப்பை புதிய நெய் மணத்துடன் சாப்பிட்டு பூரிப்படைந்தேன்,After watching the Mysore Dasara festival procession I was delighted by eating the famous Mysore Pak sweet with fresh ghee aroma near the palace,Mysore Dasara vizhavin oorvalathaip paartha piragu angulla aranmanaikaargil kidaikum pugazhpetra Mysore Pak inippai puthiya nei manathudan saappittu poorippadainthen
వృద్ధులైన మా అమ్మమ్మగారి ఆధ్యాత్మిక యాత్రలో ఇబ్బంది కలగకుండా మధురై మీనాక్షి ఆలయ దక్షిణ గోపురానికి ఎదురుగా ఉన్న ఆధునిక సదుపాయాల హోటల్ ను బుక్ చేశాను,வயதான எங்கள் அம்மாவின் ஆன்மீகப் பயணத்தில் சிரமம் ஏற்படாமல் இருக்க மதுரை மீனாட்சி அம்மன் கோவில் தெற்கு கோபுரத்திற்கு எதிரே உள்ள நவீன வசதிகள் கொண்ட ஹோட்டலை முன்பதிవు செய்தேன்,I booked a modern facility hotel opposite to Madurai Meenakshi temple south tower without causing trouble in our elderly grandmother spiritual trip,Vayathaana engal ammaavin aanmeega payanathil siramam eerpadaamal irukka Madurai Meenakshi Amman kovil thetku gopurathirku ethire ulla navina vasathigal konda hotel-ai munpathivu seithen
ఒంటరిగా జమ్మూ కాశ్మీర్ లోని లడఖ్ ప్రాంతంలో ఉన్న తిక్సే బౌద్ధ ఆశ్రమాన్ని సందర్శించి అక్కడ తెల్లవారుజామున సన్యాసులు చేసే పవిత్ర ప్రార్థనల సాంస్కృతిక విశేషాలను సేకరించాను,ஜம்மு காஷ்மீரின் லடாக் பகுதியில் உள்ள திக்ஸே பௌத்த மடாலயத்திற்குத் தனியாகச் சென்று அங்கு அதிகாலையில் துறவிகள் செய்யும் புனித வழிபாடுகளின் கலாச்சார சிறப்புகளைச் சேகரித்தேன்,Visiting Thiksey Buddhist monastery in Ladakh region of Jammu Kashmir solo I collected the cultural details of sacred prayers performed by monks early in the morning,Jammu Kashmirin Ladakh paguthiyil ulla Thiksey Bauddha madalayathirku thaniyaagas sentru angu athigaalaiyil thuravigal seiyum punitha vazhibaadugalin kalaachaara sirappugalaich segarithen
పశ్చిమ కనుమలలోని దట్టమైన అడవుల గుండా ప్రయాణిస్తూ మున్నార్ కొండలపై దొరికే తాజా పుట్టగొడుగుల కూర మరియు ముడి బియ్యం అన్నం తినడం ప్రకృతి ప్రేమికుడిగా నాకు నచ్చింది,மேற்குத் தொடர்ச்சி மலையின் அடர்ந்த காடுகள் வழியே பயணம் செய்யும்போது மூணார் மலைகளில் கிடைக்கும் புதிய காளான் வதக்கல் மற்றும் கைக்குத்தல் அரிசி சோற்றை உண்பது இயற்கை ஆர்வலரான எனக்கு பிடித்திருந்தது,As a nature lover I liked eating fresh mushroom curry and raw rice available on Munnar hills while traveling through dense forests of Western Ghats,Merku thodarchi malaiyin adarntha kaadugal vazhiye payanam seiyumbothu Munnar malaigalil kidaikum puthiya kaalaan vathakkal martum kaikuthal arisi sotrai unpathu iyarkai aarvalaraana enaku pidithirunthathu
తిరుపతి వేంకటేశ్వర స్వామి దర్శనానికి వెళ్లే యాత్రికులకు ఆలయ వసతి గృహాల వద్ద ఉచితంగా వడ్డించే వేడి అన్నం మరియు సాంబారును ఎంతో తృప్తిగా తిన్నాము,తిరుపతి వేంకటేశ్వర స్వామి దర్శనానికి వెళ్లే యాత్రికులకు ఆలయ వసతి గృహాల వద్ద ఉచితంగా వడ్డించే వేడి అన్నం మరియు సాంబారును మేము ఎంతో తృప్తిగా తిన్నాము.,We ate with great satisfaction the hot rice and sambar served free of cost at the temple Choultries for pilgrims going to Tirupati Venkateswara temple,Tirupati Venkatachalapathi tharisanathirkus sellum yaathirigargaluku koyil thangumidangalil ilavasamaaga vazhangapadum soodaana saadham martum saambaarai miguntha thirupthiyudan saappittom
బీహార్ లో జరిగే ప్రసిద్ధ ఛత్ పూజ పండుగ సందర్భంగా పాట్నాలోని గంగా నది ఘాట్ల వద్ద వేలాది మంది మహిళలు సూర్య భగవానుడికి ఇచ్చే అర్ఘ్యం సాంప్రదాయక దృశ్యాన్ని యాత్రికుడిగా వీక్షించాము,பீகாரில் நடக்கும் புகழ்பெற்ற சத் பூஜை திருவிழாவையொட்டி பாட்னாவில் உள்ள கங்கை நதிக்கரையில் ஆயிரக்கணக்கான பெண்கள் சூரிய பகவானுக்கு அர்க்கியம் கொடுக்கும் பாரம்பரியக் காட்சியை யாத்திரிகராகப் பார்த்தோம்,We observed as a pilgrim the traditional sight of thousands of women offering Arghya to the Sun God at Patna Ganges river ghats during the famous Chhath Puja festival in Bihar,Biharil nadakum pugazhpetra Chhath Puja thiruvizhaviyotti Patnavil ulla Gangai nathikaraiyil aayirakkanakkan pengal sooriya bhagavaanuku arghyam kodukkum paarambariya kaatchiyai yaathirigaragap paarthom
Staying in cottages located among tribal villages in the Araku Valley increased our children's awareness of their lifestyle and garden conservation.,Staying in huts located between the tribal villages of the Araku Valley created awareness among the children about their lifestyle and garden conservation.,Our family staying in cottages amidst tribal villages of Araku Valley increased children awareness on their lifestyle and plantation protection,Araku pallathaakin pazhangudiyina kiraamangaluku naduve ulla kudilgalil engal kudumbam thangiyathaal kuzhanthaigaluku avargalin vaazhkai murai martum thotta paathukaapu patriya vizhippunarvu eerpattathu
"பயணம் என்பது மனிதன் தனது சொந்த எல்லைகளைப் பரிசோதித்து, அவற்றைத் தாண்டி வளர்வதற்கான ஒரு சிறந்த வாய்ப்பு என்பதை எனது அனுபவங்கள் கூறுகின்றன.",பயணம் என்பது மனிதன் தனது சொந்த எல்லைகளைப் பரிசோதித்து அவற்றையும்தாண்டி வளர்வதற்கான ஒரு சிறந்த வாய்ப்பு என்பதை எனது அனுபவங்கள் உணர்த்துகின்றன,My experiences say that travel is a great opportunity for a person to test their own limits and grow beyond them,Payanam enbathu manithan thanathu sontha ellaigalaip parisoathiththu avatraiyum thaandi valarvatharku oru sirantha vaaippu enbathai enathu anubavangal unarthugindrana
పశ్చిమ బెంగాల్ లోని డార్జిలింగ్ టీ తోటల అందాలను చూడటానికి మరియు అక్కడి సంస్కృతిని అర్థం చేసుకోవడానికి ఏ కాలం చాలా అనుకూలంగా ఉంటుందో పరిశీలిస్తున్నాను,மேற்கு வங்காளத்தின் டார்ஜிலிங் தேயிலைத் தோட்டங்களின் அழகைக் காண்பதற்கும் அங்குள்ள கலாச்சாரத்தைப் புரிந்துகொள்வதற்கும் எந்தக் காலம் மிகவும் பொருத்தமானது என்று ஆராய்கிறேன்,I am researching which season is most appropriate to see the beauty of Darjeeling tea gardens in West Bengal and understand their local culture,Merku vangalaathin Darjeeling theyilai thottangalin azhagai kaanvatharkum angulla kalaachaarathai purinthu kolvatharkum entha kaalam migavum poruthamanathu endru aaraaigiren
ఉత్తరాఖండ్ లోని హరిద్వార్ ఘాట్ల వద్ద జరిగే కుంభమేళా ఉత్సవాల రద్దీలో పవిత్ర స్నానం చేయడానికి గంగా నదికి నడిచే దూరంలో ఉన్న ఆశ్రమ వసతిని ఎంచుకున్నాము,உத்தரகண்டின் ஹரித்வார் காட்டுகளில் நடக்கும் கும்பமேளா விழாவின் கூட்ட நெரிசலில் புனித நீராட கங்கை நதிக்கு நடந்து செல்லும் தூரத்தில் உள்ள ஆசிரம தங்குமிடத்தைத் தேர்ந்தெடுத்தோம்,We chose ashram accommodation within walking distance of Ganges to take a holy dip during the Kumbh Mela festival rush at Haridwar ghats in Uttarakhand,Uttarakhandin Haridwar ghatugalil nadakum Kumbhamela vizhavin koota nerisali punitha neeraada Gangai nathiku nadanthu sellum thoorathil ulla aasirama thangumidathaith therntheduthom
